Num;X;Y;Z_actuel;Z_alluv;Epaisseur
30;475015.84;267590.67;50;43.7;6.3
8;475625.11;267129.77;48.8;45.4;3.4
26;476301.75;267350.19;48.48;45.58;2.9
7;475395.98;267112.12;50.6;45.6;5
10;475610.45;267116.02;49;45.8;3.2
40;475976.15;267544.16;52.8;45.8;7
1;476268.29;267384.33;49.34;46.22;3.12
5;475969.39;267553.32;52.88;46.48;6.4
2;476247.79;267415.04;49.64;46.64;3
3;476092.89;267475.42;52.7;46.7;6
36;475973.63;267532.24;52.7;46.8;5.9
17;475628.66;267087.72;48.05;47.25;0.8
37;475957.59;267539.34;53.8;47.7;6.1
44;476465.92;267579.9;49.71;47.91;1.8
43;476456.99;267568.56;50.05;48.45;1.6
124;475926;267118.5;48.3;43.1;5.2
178;475618.75;267126;48.8;45.1;3.7
164;474957;267007;48.9;45.25;3.65
167;476013;267031;48.2;45.74;2.46
149;476246;267231.25;48;46.1;1.9
163;475568;266826;48.5;46.19;2.31
169;475867;266825;48.7;46.25;2.45
165;474858;267113;48;46.27;1.73
158;475655;267194;49.2;46.28;2.92
155;475521.75;267154.25;49.75;46.4;3.35
161;475767;266813;48.5;46.42;2.08
159;476477;267607;50.45;46.58;3.87
166;474460;267009;47.5;46.75;0.75
170;474527;266884;48.5;46.92;1.58
174;476144;267581;53;47.22;5.78
Log023;475964.94;267100.99;48.4;43.2;5.2
Log16-;475554.86;267598.82;51.5;44.3;7.2
Log016;475987.25;266918.5;48.5;44.5;4
Log16-;475542.55;267594.68;51.5;44.5;7
Log62-;474731.1;266690.1;48;44.7;3.3
Log3-1;475978.83;267653.88;50.4;45;5.4
Log8-1;474771.53;267430.05;51;45.08;5.92
Log022;474459.5;266840.25;48.5;45.3;3.2
Log69-;475370.17;267609.13;49.15;45.3;3.85
Log62-;474718.77;266658.32;48;45.5;2.5
Log027;475496;266820.5;48.2;45.5;2.7
Log1-1;475092.64;267456.69;52;45.5;6.5
Log6-2;476270.35;267446.22;49.5;45.78;3.72
Log11-;475585.34;267192.58;49;46;3
Log016;475976;266938.25;48;46;2
Log60-;475277.18;266886.79;48.2;46;2.2
Log4-1;474870.33;267497.86;49.4;46;3.4
Log6-3;476260.25;267448.75;49.6;46.08;3.52
Log4-2;474876.68;267499.49;49.4;46.1;3.3
Log12-;475424.98;267066.12;50.6;46.2;4.4
Log12-;475416.79;267028.08;50.6;46.26;4.34
Log9-1;475426.86;267162.2;50.5;46.35;4.15
Log10-;475353.23;267010.02;51.4;46.42;4.98
Log033;475602.19;267306.24;51;46.45;4.55
Log23-;475414.92;267083.1;49.2;46.7;2.5
Log14-;475930.33;267451;51.9;46.82;5.08
Log033;475597.69;267304.21;51;47.15;3.85
Log021;475228;267360.75;52.92;47.16;5.76
Log021;475171.64;267378.72;52.96;47.17;5.79
Log77-;476475.52;267563.71;49.7;47.55;2.15
8473;474881.99;267100.1;49.7;48.9;0.8
8366;476656.01;267461.91;48.74;47.54;1.2
8517;476307.01;267436.04;49.7;48.5;1.2
8518;476299.99;267429.93;49.7;48.5;1.2
8427;475164;266681.88;47.8;46.4;1.4
8405;476092.01;266876.95;47.72;46.02;1.7
8404;476109.99;266873.05;48.14;46.44;1.7
8520;476006.01;267281.01;50.05;48.35;1.7
8403;476088.99;266862.06;48.5;46.7;1.8
8472;474859.01;267126.95;49.5;47.7;1.8
8519;475984.01;267284.91;50;48.2;1.8
8111;475620;267169.92;49.5;47.6;1.9
8400;476433.01;267185.06;48.1;46.1;2
8504;475773.01;266806.88;48.75;46.75;2
8485;474885.01;267066.89;49.7;47.7;2
8035;475000;267050.05;50;47.84;2.16
8406;476084.01;266853.03;47.2;45;2.2
8495;476146;267547.12;52.6;50.4;2.2
8468;474510.01;266613.04;46;43.7;2.3
8379;475269.99;266857.91;47.7;45.3;2.4
8464;475605.01;267152.1;48.5;46.1;2.4
8455;474833.01;266999.02;49;46.6;2.4
8399;476394.99;267595.95;50;47.6;2.4
8378;475575.01;267540.04;50.25;47.85;2.4
8460;474368.99;267334.96;50.54;48.14;2.4
8469;474523.99;266603.03;46;43.5;2.5
8562;475644.99;267010.01;51;47.7;2.5
8411;474640.99;267034.91;48;45.4;2.6
8497;475640.01;267121.09;48.97;46.37;2.6
8465;475600.01;267209.96;49;46.4;2.6
8440;475935;267060.06;48.52;45.72;2.8
8441;475970;267034.91;48.74;45.94;2.8
8112;475655;266979.98;51;47.7;2.8
8096;475530;267000;45.9;42.9;3
8505;475760.01;266809.08;48.75;45.75;3
8368;476310;266949.95;46.89;43.69;3.2
8453;475620;266798.1;48.78;45.58;3.2
8459;474605.01;267332.03;49.7;46.5;3.2
8040;474649.99;266709.96;48;44.5;3.5
8503;475787.99;266825.93;48.8;45.3;3.5
8454;475630;266780.03;48.86;45.26;3.6
8022;475950.01;267520.02;50.18;46.58;3.6
8486;475045.01;267179.93;51.3;47.6;3.7
8012;474709.99;267129.88;49.8;45.91;3.89
8430;476476.01;267738.04;52;48;4
8546;475179.99;267649.9;52;48;4
8450;475428.01;267071.04;50.8;46.4;4.4
8550;475006.01;267597.9;50.2;45.6;4.6
8456;474655;267376.95;50.53;45.78;4.75
8013;475149.99;267260.01;51.8;46.94;4.86
8426;475002.01;266975.1;49.8;44.8;5
8363;476153.02;267592.04;53;48;5
8038;474970;267050.05;50;44.67;5.33
8547;475127.99;267659.91;51.04;45.54;5.5
8438;475515.01;267435.06;52;46.2;5.8
8439;475524.99;267435.06;51.2;45.2;6
8362;476151;267576.9;53;47;6
8410;474840;267292.97;51.8;45.6;6.2
8051;475209.99;267645.02;52.4;46.1;6.3
8549;475035;267590.09;49.1;42.7;6.4
8437;475151;267405.03;53;46.6;6.4
8428;475179.99;267356.93;52.6;46.1;6.5
8387;474920.01;267169.92;51.01;43.01;8
8412;476060;267443.12;53;45;8
8548;475080.99;267624.02;51;41.2;9.8
85;475344.25;266895.5;49;46.14;2.86
H1;476182.62;267442.93;55.6;50.7;4.9
H2;476189.37;267484.98;53.2;47.2;6
H4;475134.1;267217.7;51;45;6
H5;475509.96;267465.06;52.2;45;7.2
H6;475707.38;267314.62;51.5;46.4;5.1
H7;475685.73;267212.76;49.15;45.5;3.65
H8;475212.87;267203.13;51.4;46.7;4.7
H9;476250.36;267550.19;52.25;47.5;4.75
H10;476272.36;267354.72;49.4;45.5;3.9
H11;476232.26;267133.01;48.4;46;2.4
S72;474990.13;267579.29;50.2;46.2;4
S66;475613.89;267331.12;51.25;46.85;4.4
S65;475398.83;267121.78;50.6;46.5;4.1
S024;474881.05;267271.65;51.8;46;5.8
S025a;476273.5;267303.85;48.5;46.4;2.1
S025b;476321.63;267233.15;47.8;46;2.8
S028;474605.38;267361.48;49.8;46;3.8
