id;st;us   ;facies;forme;morphologie;aspect;longueur;largeur;epaisseur;poids;magnetisme
190;420;;SFR;Semi-circulaire;Concavo-convexe;Irrégulier;34;55;20;49;Faible 
191;420;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;30;45;30;48;Fort
192;420;;SFR;Rond;Aplatie;Régulier ;26;35;17;14;Faible 
193;407;;SFR;Irrégulière;Irregulière;Irrégulier;35;58;32;65;Fort
194;407;;SFR;Rond;Plano-Convexe;Régulier ;35;36;21;43;Fort
195;407;;SFR;Rond;Plano-Convexe;Régulier ;34;32;23;18;Fort
196;407;;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;30;34;25;28;Faible 
197;407;;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;39;50;28;52;Faible 
198;407;;SFR;Semi-circulaire;Aplatie;Régulier ;39;42;17;33;Fort
199;407;;SFR;Ovale Long;Aplatie;Régulier ;56;40;16;36;Fort
200;407;;SFR;Rond;Aplatie;Irrégulier;52;47;20;48;Fort
201;407;;SFR;Rond;Aplatie;Régulier ;30;30;14;14;Fort
202;407;;SFR;Rond;Plano-convexe tronquée;Régulier ;26;26;27;26;Fort
203;407;;SFR;Irrégulière;Irregulière;Irrégulier;17;26;20;10;Fort
204;407;;SFR;Ovale Large;Aplatie;Régulier ;25;38;13;15;Fort
205;407;;SFR;Irrégulière;Irregulière;Régulier ;28;43;18;26;Fort
206;407;;SFR;Rond;Plano-Convexe;Régulier ;34;38;15;19;Fort
207;407;;SFR;Rond;Aplatie;Irrégulier;22;28;13;15;Fort
208;407;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;28;30;24;22;Faible 
209;407;;SFR;Rond;Aplatie;Déchiqueté;25;26;13;16;Fort
210;407;;SFR;Rond;Plano-Convexe;Irrégulier;25;30;23;28;Fort
211;420;;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;64;84;53;261;Fort
212;420;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;37;75;33;140;Fort
213;420;;SFR;Ovale Large;Plano-Convexe;Lisse;50;63;46;195;Fort
214;420;;SFR;Irrégulière;Plano-Convexe;Irrégulier;39;39;27;31;Fort
215;420;;SFR;Rond;Aplatie;Irrégulier;31;35;17;16;Fort
216;420;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;64;116;40;335;Fort
217;175;;SFR;Ovale Large;Plano-Convexe;Régulier ;60;89;34;260;Fort
218;407;us_1 ;SFR;Rond;Plano-Convexe;Irrégulier;31;32;20;19;Local
219;407;us_1 ;SFR;Ovale Long;Aplatie;Irrégulier;46;38;17;38;Fort
220;407;us_1 ;SFR;Irrégulière;Aplatie;Irrégulier;40;47;18;23;Fort
221;407;us_1 ;SFR;Ovale Large;Aplatie;Irrégulier;38;56;18;43;Fort
222;407;us_1 ;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;46;60;29;83;Local
223;407;us_1 ;SFR;Irrégulière;Plano-convexe tronquée;Régulier ;56;71;36;96;Fort
224;397;us_3;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;48;55;26;43;Faible 
225;397;us_3;SFR;Ovale Large;Plano-Convexe;Régulier ;50;71;35;144;Fort
226;397;us_3;SFR;Semi-circulaire;Plano-Convexe;Régulier ;22;33;22;15;Fort
227;397;us_3;SFR;Irrégulière;Plano-Convexe;Régulier ;33;26;18;26;Fort
228;397;us_3;SFR;Semi-circulaire;Aplatie;Irrégulier;31;46;22;30;Fort
229;397;us_3;SFR;Ovale Large;Plano-Convexe;Régulier ;60;87;30;234;Fort
230;397;us_3;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;36;42;24;37;Fort
231;397;us_3;SFR;Rond;Aplatie;Régulier ;27;27;18;20;Fort
232;397;us_3;SFR;Semi-circulaire;Plano-Convexe;Irrégulier;46;53;32;62;Fort
233;397;us_3;SFR;Rond;Aplatie;Irrégulier;82;82;29;202;Fort
234;397;us_3;SFR;Ovale Large;Aplatie;Irrégulier;41;69;27;58;Fort
235;397;us_3;SFR;Ovale Long;Plano-Convexe;Régulier ;102;77;37;355;Fort
236;407;;SFR;Ovale Large avec 2 bord d'appui rectiligne;Bombo-convexe tronquée;Irrégulier;68;65;31;155;Fort
237;407;;SFR;Rond;Plano-Convexe;Régulier ;52;58;31;85;Fort
238;407;;SFR;Rond;Plano-Convexe;Régulier ;35;37;27;31;Fort
239;407;;SFR;Irrégulière;Plano-Convexe;Irrégulier;50;56;32;104;Fort
240;407;;SFR;Ovale Large;Plano-Convexe;Déchiqueté;51;83;45;138;Fort
241;407;;SFR;Ovale Large;Plano-Convexe;Régulier ;57;73;53;182;Fort
242;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Bombo-convexe tronquée;Irrégulier;45;88;46;182;Fort
243;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;33;66;65;71;Fort
244;403;;SFR;Rond;Plano-Convexe;Régulier ;37;37;25;70;Fort
245;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Bombo-convexe tronquée;Régulier ;32;53;36;72;Fort
246;403;;SFR;Rond;Aplatie;Régulier ;40;42;18;33;Fort
247;403;;SFR;Rond;Plano-Convexe;Irrégulier;41;35;22;25;Fort
248;407;2eme_moitie;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;35;69;23;61;Faible 
249;407;2eme_moitie;SFR;Semi-circulaire;Aplatie;Lisse;41;53;16;35;Fort
250;407;2eme_moitie;SFR;Ovale Large;Plano-Convexe;Irrégulier;37;50;29;42;Faible 
251;407;2eme_moitie;SFR;Rond;Plano-Convexe;Lisse;40;40;23;44;Fort
252;407;2eme_moitie;SFR;Irrégulière;Plano-Convexe;Irrégulier;34;37;19;28;Faible 
253;407;2eme_moitie;SFR;Rond;Aplatie;Régulier ;65;56;45;125;Fort
254;407;2eme_moitie;SFR;Ovale Large;Plano-Convexe;Irrégulier;80;113;37;455;Fort
255;407;us_4;SFR;Ovale Large;Plano-Convexe;Lisse;33;50;22;27;Fort
256;407;us_4;SFR;Semi-circulaire;Plano-convexe tronquée;Lisse;30;43;24;32;Fort
257;407;us_4;SFR;Semi-circulaire;Aplatie;Irrégulier;30;63;18;41;Fort
258;407;us_4;SFR;Ovale Large;Aplatie;Lisse;24;40;15;18;Fort
259;407;us_4;SFR;Ovale Large;Aplatie;Déchiqueté;51;69;28;95;Fort
260;407;us_4;SFR;Rond;Plano-convexe tronquée;Irrégulier;73;78;63;260;Fort
261;403;;SFR;Ovale Large;Aplatie;Irrégulier;61;72;27;146;Fort
262;403;;SFR;Rond;Aplatie;Déchiqueté;56;56;25;94;Local
263;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;24;40;40;25;Local
264;403;;SFR;Irrégulière;Aplatie;Régulier ;36;50;18;50;Fort
265;403;;SFR;Rond;Plano-Convexe;Irrégulier;50;50;30;72;Fort
266;403;;SFR;Rond;Aplatie;Irrégulier;57;70;20;107;Fort
267;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;49;54;48;142;Fort
268;403;;SFR;Irrégulière;Plano-Convexe;Irrégulier;74;75;35;196;Fort
269;403;;SFR;Ovale Large;Plano-Convexe;Déchiqueté;32;44;36;52;Local
270;403;;SFR;Semi-circulaire;Plano-convexe tronquée;Lisse;44;55;26;55;Local
271;403;;SFR;Ovale Long;Aplatie;Irrégulier;72;57;24;55;Fort
272;403;;SFR;Ovale Large avec 2 bord d'appui rectiligne en TC;Plano-convexe tronquée;Régulier ;47;52;37;108;Local
273;403;;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;59;71;36;141;Fort
274;403;;SFR;Irrégulière;Aplatie;Déchiqueté;51;80;35;58;Fort
275;403;;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;48;77;53;206;Fort
276;403;;SFR;Rond;Plano-Convexe;Régulier ;55;55;33;81;Fort
277;403;;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;47;53;28;74;Fort
278;403;;SFR;Ovale Large;Plano-Convexe;Régulier ;30;48;33;26;Fort
279;403;;SFR;Ovale Large;Aplatie;Lisse;51;67;21;53;Fort
280;403;;SFR;Semi-circulaire;Aplatie;Irrégulier;35;40;16;20;Faible 
281;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;39;45;21;27;Local
282;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;26;40;19;19;Local
283;403;;SFR;Ovale Large;Plano-Convexe;Régulier ;43;67;34;71;Local
284;403;;SFR;Ovale Large;Aplatie;Régulier ;43;64;23;67;Fort
285;403;;SFR;Ovale Large;Plano-Convexe;Irrégulier;34;43;24;37;Local
286;403;;SFR;Ovale Large;Plano-Convexe;Lisse;28;33;22;15;Fort
287;403;;SFR;Rond;Plano-convexe tronquée;Lisse;34;35;19;29;Faible 
288;403;;SFR;Ovale Large;Plano-Convexe;Irrégulier;29;43;23;33;Faible 
289;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;20;34;26;16;Fort
290;403;;SFR;Ovale Large;Plano-Convexe;Irrégulier;29;38;18;19;Aucun
291;403;;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;28;44;27;25;Fort
292;403;;SFR;Irrégulière;Aplatie;Régulier ;31;40;12;16;Fort
293;403;;SFR;Ovale Large;Plano-Convexe;Irrégulier;29;43;31;37;Local
294;403;;SFR;Ovale Large;Plano-Convexe;Déchiqueté;51;94;48;130;Faible 
295;403;;SFR;Rond;Aplatie;Régulier ;29;29;15;13;Fort
296;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;38;58;29;77;Local
297;403;;SFR;Irrégulière;Plano-Convexe;Déchiqueté;32;34;19;15;Fort
298;403;;SFR;Ovale Long;Plano-Convexe;Irrégulier;43;33;21;31;Fort
299;403;;SFR;Rond;Plano-Convexe;Irrégulier;45;45;29;56;Fort
300;403;;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;24;45;15;24;Fort
301;403;;SFR;Ovale Large;Plano-Convexe;Irrégulier;43;50;22;60;Fort
302;403;;SFR;Rond;Aplatie;Régulier ;35;35;17;21;Fort
303;403;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;24;49;27;32;Fort
304;403;;SFR;Ovale Large;Plano-Convexe;Irrégulier;32;40;27;42;Fort
305;403;;SFR;Ovale Large;Aplatie;Irrégulier;47;63;24;82;Fort
306;403;;SFR;Rond;Plano-Convexe;Régulier ;25;25;19;19;Fort
307;403;;SFR;Ovale Large;Plano-Convexe;Régulier ;24;58;24;29;Fort
308;403;;SFR;Irrégulière;Aplatie;Irrégulier;46;55;16;39;Fort
309;407;;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;60;73;40;219;Fort
310;407;;SFR;Ovale Large;Plano-Convexe;Irrégulier;51;79;42;186;Fort
311;407;;SFR;Ovale Large;Plano-Convexe;Déchiqueté;47;66;27;83;Fort
312;407;;SFR;Semi-circulaire;Plano-Convexe;Régulier ;51;61;35;94;Fort
313;177;;SFR+SAS;Ovale Large;Plano-Convexe;Irrégulier;33;46;30;30;Faible 
314;420;us_2;SFR+SAS;Ovale Large;Aplatie;Irrégulier;37;70;17;65;Local
315;177;us_4;SFR+SAS;Ovale Large;Plano-Convexe;Régulier ;35;71;36;75;Local
316;177;;SFR+SAS;Ovale Large;Plano-Convexe;Régulier ;37;63;26;52;Fort
317;406;2eme_moitie;SFR+SAS;Ovale Long avec 1 bord d'appui rectiligne;Bombo-convexe tronquée;Régulier ;38;30;26;34;Local
318;420;;SFR+SAS;Semi-circulaire;Aplatie;Déchiqueté;42;52;24;50;Aucun
319;407;;SFR+SAS;Semi-circulaire;Plano-Convexe;Irrégulier;70;106;56;285;Local
320;403;;SFR+SAS;Ovale Large;Plano-Convexe;Régulier ;50;81;35;102;Fort
321;688;sd_1;SGD;Ovale Large;Plano-Convexe;Lisse;20;29;15;15;Local
322;742;2eme_moitie;SGD;Rond;Plano-Convexe;Régulier ;30;32;20;13;Local
323;160;;SGD;Rond;Plano-Convexe;Régulier ;75;74;52;255;Faible 
324;778;;SGD;Ovale Long;Aplatie;Régulier ;72;40;20;85;Faible 
325;403;surface;SGD;Ovale Large;Plano-Convexe;Régulier ;45;65;36;105;Faible 
326;742;us_2;SGD;Semi-circulaire;Aplatie;Régulier ;32;42;17;39;Fort
327;742;us_2;SGD;Irrégulière;Irregulière;Régulier ;17;24;13;6;Fort
328;397;us_4 ;SGD;Ovale Large;Plano-Convexe;Irrégulier;33;41;31;38;Faible 
329;405;;SGD;Semi-circulaire;Plano-convexe tronquée;Régulier ;41;55;30;64;Local
330;420;us_1;SGD;Semi-circulaire;Aplatie;Régulier ;37;48;26;37;Fort
331;408;;SGD;Ovale Large;Plano-Convexe;Régulier ;28;46;23;20;Faible 
332;408;;SGD;Rond;Plano-Convexe;Régulier ;23;24;17;6;Fort
333;175;;SGD;Ovale Large;Plano-convexe tronquée;Régulier ;29;59;39;85;Fort
334;175;;SGD;Ovale Large;Bombo-convexe;Déchiqueté;38;53;27;52;Faible 
335;175;;SGD;Semi-circulaire;Aplatie;Régulier ;35;45;25;19;Faible 
336;175;;SGD;Rond;Plano-convexe tronquée;Régulier ;23;30;17;12;Faible 
337;177;;SGD;Ovale Large;Plano-Convexe;Irrégulier;44;62;44;163;Faible 
338;177;;SGD;Ovale Large;Bombo-convexe;Irrégulier;54;76;42;172;Faible 
339;397;us_2;SGD;Semi-circulaire;Plano-Convexe;Irrégulier;45;54;33;53;Faible 
340;397;us_2;SGD;Ovale Large;Plano-Convexe;Irrégulier;41;68;25;87;Faible 
341;397;us_2;SGD;Rond;Aplatie;Régulier ;40;37;17;24;Local
342;397;us_2;SGD;Ovale Large;Plano-Convexe;Irrégulier;26;42;22;14;Faible 
343;397;us_2;SGD;Rond;Aplatie;Régulier ;22;27;11;6;Faible 
344;397;us_2;SGD;Irrégulière;Irregulière;Déchiqueté;19;23;14;5;Faible 
345;397;us_2;SGD;Irrégulière;Irregulière;Déchiqueté;18;26;19;6;Faible 
346;397;us_2;SGD;Irrégulière;Irregulière;Déchiqueté;17;23;12;3;Faible 
347;397;us_3;SGD;Rond;Plano-Convexe;Irrégulier;28;24;16;13;Fort
348;397;us_3;SGD;Ovale Large avec 1 bord d'appui rectiligne en TC;Bombo-convexe tronquée;Régulier ;18;31;13;9;Fort
349;397;us_3;SGD;Ovale Large avec 1 bord d'appui rectiligne en TC;Bombo-convexe tronquée;Irrégulier;33;39;29;42;Fort
350;397;us_3;SGD;Rond;Plano-Convexe;Régulier ;29;29;18;26;Local
351;397;us_3;SGD;Ovale Large;Aplatie;Lisse;14;24;8;7;Local
352;177;us_4;SGD;Ovale Large avec 1 bord d'appui rectiligne en TC;Plano-convexe tronquée;Irrégulier;35;72;37;71;Faible 
353;173;2eme_moitie;SGD;Rond;Plano-Convexe;Irrégulier;24;24;15;9;Faible 
354;412;us_1;SGD;Rond;Plano-Convexe;Lisse;25;27;13;13;Fort
355;742;2eme_moitie;SGD;Rond;Plano-Convexe;Lisse;30;31;19;13;Local
356;177;us_noire;SGD;Ovale Large;Plano-Convexe;Régulier ;20;45;26;34;Aucun
357;407;;SGD;Ovale Large avec 1 bord d'appui rectiligne en TC;Plano-convexe tronquée;Déchiqueté;30;54;29;51;Local
358;406;2eme_moitie;SGD;Rond;Plano-convexe tronquée;Irrégulier;54;69;48;106;Local
359;192;us_noire;SGD;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;69;91;43;248;Fort
360;420;us_2;SGD;Rond;Plano-convexe tronquée;Lisse;40;45;26;32;Fort
361;420;us_2;SGD;Ovale Large avec 1 bord d'appui rectiligne;Bombo-convexe tronquée;Régulier ;37;79;36;13;Faible 
362;420;us_2;SGD;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Lisse;27;44;41;34;Fort
363;420;us_2;SGD;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;26;39;24;14;Faible 
364;420;us_2;SGD;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;28;40;25;17;Faible 
365;778;us_noire;SGD;Ovale Large;Aplatie;Régulier ;40;70;18;74;Faible 
366;403;surface;SGD;Ovale Large avec 1 bord d'appui rectiligne en TC;Plano-convexe tronquée;Irrégulier;45;66;36;96;Faible 
367;405;us_7;SGD;Ovale Large;Plano-Convexe;Déchiqueté;35;47;18;25;Faible 
368;405;us_7;SGD;Semi-circulaire;Plano-Convexe;Lisse;28;36;17;15;Local
369;405;;SGD;Rond;Plano-convexe tronquée;Lisse;40;44;27;31;Local
370;405;;SGD;Rond;Plano-Convexe;Irrégulier;55;55;34;130;Faible 
371;779;surface;SGD;Semi-circulaire;Plano-convexe tronquée;Régulier ;58;69;25;244;Local
372;420;;SGD;Ovale Large;Bombo-convexe;Régulier ;35;49;37;59;Fort
373;420;;SGD;Ovale Long;Plano-Convexe;Régulier ;94;51;53;197;Faible 
374;407;;SGD;Rond;Bombo-convexe;Régulier ;36;36;36;25;Local
375;407;;SGD;Semi-circulaire;Aplatie;Régulier ;25;33;15;78;Local
376;407;;SGD;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;31;57;46;83;Local
377;407;;SGD;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;26;61;45;53;Local
